iter	Passed	Remaining
416	3001	4196
417	3008	4189
418	3015	4181
419	3023	4175
420	3031	4169
421	3038	4161
422	3045	4154
423	3053	4147
424	3060	4140
425	3067	4132
426	3074	4126
427	3081	4118
428	3089	4111
429	3096	4105
430	3103	4097
431	3111	4090
432	3118	4083
433	3125	4076
434	3131	4067
435	3138	4060
436	3146	4053
437	3152	4045
438	3158	4036
439	3165	4028
440	3173	4022
441	3180	4015
442	3188	4008
443	3195	4001
444	3202	3993
445	3210	3987
446	3217	3980
447	3223	3971
448	3229	3962
449	3235	3954
450	3241	3945
451	3248	3938
452	3255	3931
453	3262	3923
454	3268	3915
455	3276	3908
456	3283	3900
457	3290	3893
458	3296	3885
459	3304	3878
460	3311	3871
461	3317	3863
462	3324	3855
463	3332	3849
464	3339	3842
465	3345	3834
466	3353	3826
467	3360	3819
468	3367	3812
469	3375	3806
470	3384	3800
471	3391	3793
472	3398	3786
473	3405	3779
474	3413	3773
475	3420	3765
476	3426	3756
477	3433	3749
478	3440	3742
479	3447	3734
480	3455	3728
481	3463	3722
482	3470	3714
483	3478	3708
484	3484	3700
485	3491	3692
486	3498	3685
487	3506	3679
488	3514	3672
489	3521	3665
490	3529	3658
491	3536	3651
492	3544	3645
493	3552	3638
494	3559	3631
495	3566	3623
496	3572	3615
497	3579	3608
498	3587	3601
499	3594	3594
500	3602	3587
501	3609	3580
502	3615	3572
503	3622	3565
504	3630	3558
505	3638	3552
506	3645	3544
507	3652	3537
508	3660	3530
509	3667	3523
510	3673	3515
511	3680	3508
512	3687	3500
513	3694	3493
514	3700	3485
515	3708	3478
516	3715	3471
517	3722	3463
518	3728	3455
519	3735	3448
520	3742	3440
521	3747	3431
522	3753	3423
523	3760	3416
524	3767	3408
525	3774	3401
526	3782	3394
527	3789	3387
528	3796	3380
529	3804	3373
530	3811	3366
531	3817	3358
532	3824	3350
533	3831	3343
534	3839	3337
535	3848	3331
536	3855	3324
537	3861	3316
538	3869	3309
539	3877	3302
540	3883	3295
541	3891	3288
542	3898	3281
543	3905	3273
544	3912	3266
545	3919	3258
546	3926	3251
547	3933	3244
548	3941	3237
549	3949	3231
550	3955	3223
551	3968	3221
552	3975	3213
553	3982	3205
554	3990	3199
555	3997	3191
556	4003	3184
557	4012	3178
558	4020	3171
559	4026	3164
560	4033	3156
561	4040	3149
562	4048	3142
563	4055	3134
564	4062	3127
565	4069	3120
566	4075	3112
567	4082	3105
568	4089	3097
569	4096	3090
570	4103	3083
571	4111	3076
572	4117	3068
573	4123	3060
574	4130	3052
575	4137	3045
576	4144	3038
577	4152	3031
578	4159	3024
579	4166	3016
580	4172	3009
581	4179	3001
582	4187	2994
583	4194	2987
584	4201	2980
585	4207	2972
586	4214	2964
587	4220	2957
588	4227	2949
589	4234	2942
590	4241	2935
591	4248	2927
592	4255	2920
593	4261	2913
594	4267	2904
595	4275	2897
596	4282	2890
597	4289	2883
598	4297	2877
599	4304	2869
600	4311	2862
601	4317	2854
602	4323	2846
603	4330	2839
604	4339	2833
605	4345	2825
606	4352	2818
607	4359	2810
608	4366	2803
609	4374	2796
610	4382	2790
611	4389	2783
612	4396	2775
613	4404	2769
614	4412	2762
615	4419	2754
616	4426	2747
617	4431	2739
618	4439	2732
619	4445	2724
620	4453	2717
621	4459	2710
622	4466	2702
623	4474	2696
624	4481	2688
625	4488	2681
626	4495	2674
627	4502	2666
628	4510	2660
629	4516	2652
630	4523	2645
631	4529	2637
632	4536	2629
633	4543	2622
634	4550	2615
635	4557	2608
636	4565	2601
637	4574	2595
638	4581	2588
639	4588	2580
640	4593	2572
641	4600	2565
642	4607	2558
643	4613	2550
644	4621	2543
645	4629	2536
646	4636	2529
647	4644	2522
648	4652	2516
649	4659	2509
650	4666	2501
651	4674	2494
652	4681	2487
653	4689	2480
654	4697	2474
655	4705	2467
656	4712	2460
657	4720	2453
658	4728	2446
659	4735	2439
660	4743	2432
661	4749	2424
662	4757	2418
663	4764	2411
664	4773	2404
665	4779	2396
666	4785	2389
667	4793	2382
668	4800	2375
669	4807	2367
670	4814	2360
671	4821	2353
672	4828	2346
673	4836	2339
674	4844	2332
675	4852	2325
676	4860	2318
677	4868	2312
678	4875	2305
679	4883	2298
680	4890	2290
681	4899	2284
682	4906	2277
683	4915	2271
684	4922	2263
685	4934	2258
686	4942	2251
687	4950	2244
688	4958	2238
689	4970	2233
690	4978	2226
691	4986	2219
692	4993	2212
693	5001	2205
694	5008	2198
695	5016	2191
696	5024	2184
697	5032	2177
698	5037	2169
699	5044	2161
700	5051	2154
701	5058	2147
702	5066	2140
703	5073	2132
704	5080	2125
705	5086	2118
706	5093	2110
707	5101	2104
708	5109	2097
709	5115	2089
710	5121	2081
711	5127	2074
712	5134	2066
713	5141	2059
714	5149	2052
715	5156	2045
716	5164	2038
717	5172	2031
718	5177	2023
719	5183	2015
720	5192	2009
721	5199	2002
722	5207	1995
723	5216	1988
724	5223	1981
725	5230	1974
726	5238	1967
727	5246	1960
728	5252	1952
729	5258	1944
730	5267	1938
731	5275	1931
732	5282	1924
733	5289	1917
734	5295	1909
735	5301	1901
736	5309	1894
737	5317	1887
738	5325	1880
739	5331	1873
740	5339	1866
741	5347	1859
742	5353	1851
743	5359	1844
744	5367	1837
745	5377	1830
746	5386	1824
747	5394	1817
748	5402	1810
749	5409	1803
750	5416	1795
751	5424	1788
752	5432	1781
753	5438	1774
754	5447	1767
755	5454	1760
756	5463	1753
757	5470	1746
758	5477	1739
759	5485	1732
760	5493	1725
761	5500	1717
762	5507	1710
763	5515	1703
764	5523	1696
765	5530	1689
766	5537	1682
767	5547	1675
768	5554	1668
769	5562	1661
770	5569	1654
771	5577	1647
772	5588	1640
773	5594	1633
774	5603	1626
775	5612	1620
776	5621	1613
777	5630	1606
778	5638	1599
779	5645	1592
780	5651	1584
781	5659	1577
782	5668	1570
783	5675	1563
784	5683	1556
785	5690	1549
786	5697	1541
787	5702	1534
788	5711	1527
789	5718	1519
790	5727	1513
791	5734	1506
792	5742	1499
793	5750	1492
794	5757	1484
795	5766	1477
796	5775	1470
797	5783	1464
798	5791	1456
799	5797	1449
800	5805	1442
801	5812	1435
802	5819	1427
803	5827	1420
804	5834	1413
805	5841	1406
806	5848	1398
807	5856	1391
808	5863	1384
809	5871	1377
810	5879	1370
811	5887	1363
812	5894	1355
813	5900	1348
814	5908	1341
815	5915	1333
816	5923	1326
817	5931	1319
818	5939	1312
819	5947	1305
820	5959	1299
821	5967	1292
822	5974	1285
823	5980	1277
824	5987	1270
825	5995	1262
826	6003	1255
827	6010	1248
828	6017	1241
829	6024	1233
830	6031	1226
831	6039	1219
832	6046	1212
833	6054	1204
834	6061	1197
835	6069	1190
836	6075	1183
837	6082	1175
838	6090	1168
839	6097	1161
840	6103	1153
841	6110	1146
842	6116	1139
843	6124	1131
844	6131	1124
845	6138	1117
846	6145	1110
847	6152	1102
848	6159	1095
849	6165	1087
850	6172	1080
851	6179	1073
852	6186	1066
853	6193	1058
854	6200	1051
855	6207	1044
856	6213	1036
857	6221	1029
858	6227	1022
859	6234	1014
860	6242	1007
861	6250	1000
862	6258	993
863	6265	986
864	6274	979
865	6282	972
866	6289	964
867	6296	957
868	6304	950
869	6311	943
870	6317	935
871	6324	928
872	6331	921
873	6338	913
874	6345	906
875	6351	899
876	6358	891
877	6367	884
878	6375	877
879	6383	870
880	6390	863
881	6397	855
882	6405	848
883	6413	841
884	6421	834
885	6427	827
886	6435	819
887	6444	812
888	6451	805
889	6458	798
890	6464	790
891	6472	783
892	6478	776
893	6485	768
894	6494	761
895	6501	754
896	6507	747
897	6524	741
898	6534	734
899	6541	726
900	6548	719
901	6556	712
902	6564	705
903	6571	697
904	6579	690
905	6589	683
906	6597	676
907	6603	669
908	6612	661
909	6620	654
910	6627	647
911	6636	640
912	6644	633
913	6652	625
914	6660	618
915	6667	611
916	6675	604
917	6683	596
918	6690	589
919	6697	582
920	6703	575
921	6711	567
922	6719	560
923	6727	553
924	6733	545
925	6741	538
926	6748	531
927	6755	524
928	6764	516
929	6771	509
930	6777	502
931	6785	495
932	6792	487
933	6800	480
934	6807	473
935	6815	466
936	6823	458
937	6830	451
938	6836	444
939	6842	436
940	6849	429
941	6857	422
942	6864	414
943	6871	407
944	6878	400
945	6886	393
946	6892	385
947	6901	378
948	6908	371
949	6914	363
950	6920	356
951	6927	349
952	6933	341
953	6941	334
954	6953	327
955	6961	320
956	6968	313
957	6975	305
958	6982	298
959	6989	291
960	6994	283
961	7001	276
962	7009	269
963	7017	262
964	7023	254
965	7030	247
966	7036	240
967	7043	232
968	7051	225
969	7057	218
970	7065	211
971	7072	203
972	7077	196
973	7084	189
974	7091	181
975	7098	174
976	7106	167
977	7114	160
978	7121	152
979	7129	145
980	7138	138
981	7146	131
982	7154	123
983	7162	116
984	7169	109
985	7177	101
986	7185	94
987	7193	87
988	7201	80
989	7209	72
990	7217	65
991	7225	58
992	7231	50
993	7239	43
994	7247	36
995	7255	29
996	7262	21
997	7269	14
998	7276	7
999	7284	0
