iter	RMSE
231	0.4206766751
232	0.4204219361
233	0.4201257943
234	0.419812975
235	0.4194680754
236	0.4191538139
237	0.41884465
238	0.4186447533
239	0.4184528195
240	0.4180186296
241	0.4177586462
242	0.4173711502
243	0.4170397657
244	0.4168096211
245	0.4166015448
246	0.4163719587
247	0.4160394335
248	0.4157887275
249	0.4155863254
250	0.4152464528
251	0.4149266686
252	0.4146378234
253	0.4143776376
254	0.4140566513
255	0.4137051195
256	0.4134729003
257	0.4131159933
258	0.4129461605
259	0.4127033953
260	0.4124427932
261	0.4121559053
262	0.4116949593
263	0.4114700385
264	0.4112374899
265	0.4111181043
266	0.4108442056
267	0.4105239832
268	0.4102792477
269	0.4100713691
270	0.4097795969
271	0.4096128543
272	0.4093623631
273	0.4091194984
274	0.4088938802
275	0.4086635346
276	0.4085010184
277	0.4082761931
278	0.407951537
279	0.4078545657
280	0.4073946365
281	0.4070942623
282	0.4067153592
283	0.4063667964
284	0.4061788479
285	0.4058904565
286	0.4056278084
287	0.4053624105
288	0.405135396
289	0.4049409525
290	0.4047042974
291	0.4044894024
292	0.4043535672
293	0.4041040349
294	0.4037428056
295	0.4035743448
296	0.4031221588
297	0.4028064564
298	0.4026235854
299	0.4023410757
300	0.4020581358
301	0.401828806
302	0.4014947116
303	0.4012072909
304	0.4009425961
305	0.4006858877
306	0.4004332179
307	0.4001625426
308	0.3998676224
309	0.399657423
310	0.3992343588
311	0.3990462417
312	0.3987995828
313	0.3986166011
314	0.3983747659
315	0.3981193838
316	0.397869286
317	0.3977238914
318	0.3974485626
319	0.3972425993
320	0.3971173973
321	0.3969349704
322	0.3967223723
323	0.3965121838
324	0.3963033148
325	0.3960392187
326	0.3957394803
327	0.3955658501
328	0.3952084309
329	0.3949952193
330	0.3948053316
331	0.3945482311
332	0.3944020079
333	0.3941824278
334	0.393945338
335	0.3937830962
336	0.3935573716
337	0.3932898007
338	0.3930338414
339	0.3928508171
340	0.3925511692
341	0.3923782133
342	0.3922490912
343	0.3919882436
344	0.3917767723
345	0.3915442298
346	0.3913965507
347	0.3912216844
348	0.3910234112
349	0.3907858603
350	0.3906313759
351	0.3904244485
352	0.3902213015
353	0.3899904733
354	0.3897704567
355	0.3895305351
356	0.3893504773
357	0.3891921335
358	0.3888748647
359	0.388633559
360	0.3883990119
361	0.3881820258
362	0.3880292564
363	0.3878113018
364	0.3875885128
365	0.3874005494
366	0.3872148502
367	0.3868375444
368	0.3866048426
369	0.3864391481
370	0.3861331457
371	0.3859289488
372	0.3858195921
373	0.3856406183
374	0.3854808104
375	0.3853032772
376	0.3850081102
377	0.38472053
378	0.3845827201
379	0.3844422404
380	0.3842875546
381	0.383992575
382	0.3838597427
383	0.3837179594
384	0.3834551964
385	0.3833146211
386	0.3831413353
387	0.3829004952
388	0.3827173303
389	0.3824783313
390	0.3823565985
391	0.3821803452
392	0.3820553177
393	0.3819392375
394	0.3817410975
395	0.3815778548
396	0.3813789602
397	0.3811723921
398	0.3808559439
399	0.3806319202
400	0.3803800761
401	0.3802540898
402	0.380173073
403	0.3800288352
404	0.3798485464
405	0.3795231395
406	0.379319099
407	0.3791276003
408	0.3789756352
409	0.378869578
410	0.3787114373
411	0.3785781161
412	0.3784065446
413	0.3781510948
414	0.3779974436
415	0.3779011485
416	0.3777751417
417	0.377577942
418	0.3774225195
419	0.3771637555
420	0.3768804476
421	0.3766187491
422	0.3764559576
423	0.3762634965
424	0.3761153765
425	0.3759320098
426	0.3757507295
427	0.3755583902
428	0.3753844378
429	0.3751937495
430	0.3750548234
431	0.3749690324
432	0.3748596996
433	0.3747139638
434	0.3745346838
435	0.3744241871
436	0.3742962089
437	0.3741422437
438	0.3739703225
439	0.373773632
440	0.3736370409
441	0.3735169662
442	0.3733480409
443	0.3731901895
444	0.3730339739
445	0.3729275237
446	0.372729424
447	0.3725592151
448	0.3722895186
449	0.3721296573
450	0.3717696298
451	0.3716144241
452	0.3714971123
453	0.3712860679
454	0.3711195656
455	0.3709621643
456	0.3707040185
457	0.3704566817
458	0.3703225078
459	0.3700779925
460	0.3699138361
461	0.3697342992
462	0.3694875254
463	0.369389769
464	0.3692816884
465	0.3690239927
466	0.3688661739
467	0.3687231815
468	0.3685807558
469	0.3684137228
470	0.3681768378
471	0.3680231388
472	0.3678877816
473	0.3678324888
474	0.3677220508
475	0.3676091787
476	0.3674479723
477	0.3672845268
478	0.3671527045
479	0.3669466895
480	0.3668455952
481	0.366557367
482	0.3664267788
483	0.3663424732
484	0.366151482
485	0.3659449551
486	0.365713655
487	0.3655327812
488	0.3654657559
489	0.3652959941
490	0.3651749908
491	0.3649021027
492	0.3646903676
493	0.3645746894
494	0.3642594115
495	0.364133423
496	0.3639798422
497	0.3638314768
498	0.363676858
499	0.3634860308
